,REPORT
0,1. there is a  mass in the  right breast.
1,1. there is a  mass in the  right breast at anterior depth.
2,1. there is a  mass in the  right breast at mid depth.
3,1. there is a  mass in the  right breast at posterior depth.
4,1. there is a  mass in the upper right breast.
5,1. there is a  mass in the upper right breast at anterior depth.
6,1. there is a  mass in the upper right breast at mid depth.
7,1. there is a  mass in the upper right breast at posterior depth.
8,1. there is a  mass in the lower right breast.
9,1. there is a  mass in the lower right breast at anterior depth.
10,1. there is a  mass in the lower right breast at mid depth.
11,1. there is a  mass in the lower right breast at posterior depth.
12,1. there is a  mass in the inner right breast.
13,1. there is a  mass in the inner right breast at anterior depth.
14,1. there is a  mass in the inner right breast at mid depth.
15,1. there is a  mass in the inner right breast at posterior depth.
16,1. there is a  mass in the outer right breast.
17,1. there is a  mass in the outer right breast at anterior depth.
18,1. there is a  mass in the outer right breast at mid depth.
19,1. there is a  mass in the outer right breast at posterior depth.
20,1. there is a  mass in the upper outer right breast.
21,1. there is a  mass in the upper outer right breast at anterior depth.
22,1. there is a  mass in the upper outer right breast at mid depth.
23,1. there is a  mass in the upper outer right breast at posterior depth.
24,1. there is a  mass in the upper inner right breast.
25,1. there is a  mass in the upper inner right breast at anterior depth.
26,1. there is a  mass in the upper inner right breast at mid depth.
27,1. there is a  mass in the upper inner right breast at posterior depth.
28,1. there is a  mass in the lower outer right breast.
29,1. there is a  mass in the lower outer right breast at anterior depth.
30,1. there is a  mass in the lower outer right breast at mid depth.
31,1. there is a  mass in the lower outer right breast at posterior depth.
32,1. there is a  mass in the lower inner right breast.
33,1. there is a  mass in the lower inner right breast at anterior depth.
34,1. there is a  mass in the lower inner right breast at mid depth.
35,1. there is a  mass in the lower inner right breast at posterior depth.
36,1. there is a  mass in the subareolar right breast.
37,1. there is a  mass in the subareolar right breast at anterior depth.
38,1. there is a  mass in the subareolar right breast at mid depth.
39,1. there is a  mass in the subareolar right breast at posterior depth.
40,1. there is a suspicious mass in the  right breast.
41,1. there is a suspicious mass in the  right breast at anterior depth.
42,1. there is a suspicious mass in the  right breast at mid depth.
43,1. there is a suspicious mass in the  right breast at posterior depth.
44,1. there is a suspicious mass in the upper right breast.
45,1. there is a suspicious mass in the upper right breast at anterior depth.
46,1. there is a suspicious mass in the upper right breast at mid depth.
47,1. there is a suspicious mass in the upper right breast at posterior depth.
48,1. there is a suspicious mass in the lower right breast.
49,1. there is a suspicious mass in the lower right breast at anterior depth.
50,1. there is a suspicious mass in the lower right breast at mid depth.
51,1. there is a suspicious mass in the lower right breast at posterior depth.
52,1. there is a suspicious mass in the inner right breast.
53,1. there is a suspicious mass in the inner right breast at anterior depth.
54,1. there is a suspicious mass in the inner right breast at mid depth.
55,1. there is a suspicious mass in the inner right breast at posterior depth.
56,1. there is a suspicious mass in the outer right breast.
57,1. there is a suspicious mass in the outer right breast at anterior depth.
58,1. there is a suspicious mass in the outer right breast at mid depth.
59,1. there is a suspicious mass in the outer right breast at posterior depth.
60,1. there is a suspicious mass in the upper outer right breast.
