filename,y,a,split,blip_caption
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2394894.jpg,1,1,1,a red bowl with food in it
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2320704.jpg,1,1,1,the cat is looking out the window
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2328589.jpg,1,1,1,a man and a woman sitting on a couch with a cat
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2398910.jpg,1,1,1,a black cat laying on top of a laptop
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2337840.jpg,1,1,1,a black cat sitting next to a bowl of food
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2370471.jpg,1,1,1,a group of kids
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2367014.jpg,1,1,1,the cat is laying on the couch
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2371747.jpg,1,1,1,a cat laying on top of a desk next to a laptop
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2382240.jpg,1,1,1,a man laying on a bed with a cat
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2329132.jpg,1,1,1,a man sitting in a chair with a cat on his lap
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2341660.jpg,1,1,1,a cat sleeping on a laptop
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2320069.jpg,1,1,1,the cat is orange and white
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2387741.jpg,1,1,1,a cat sitting on top of a refrigerator
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2411356.jpg,1,1,1,a man laying on a couch with a cat on his lap
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2330889.jpg,1,1,1,a living room filled with furniture and a flat screen tv
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2351474.jpg,1,1,1,a cat sitting on a bed in front of a mirror
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2394077.jpg,1,1,1,the cat is laying on the bed
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2408809.jpg,1,1,1,a cat sitting on top of a tv in a living room
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2384738.jpg,1,1,1,a cat sleeping on a desk next to a computer
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2334208.jpg,1,1,1,two cats sitting on a couch
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2337662.jpg,1,1,1,a cat sitting in front of a television
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2416021.jpg,1,1,1,a black cat laying on top of a computer keyboard
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2380683.jpg,1,1,1,a cat sitting on a laptop
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2357400.jpg,1,1,1,the cat is sleeping
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2318834.jpg,1,1,1,a cat eating food out of a bowl
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2416805.jpg,1,1,1,the man is wearing a red shirt
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2329733.jpg,1,1,1,two cats in a window
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2354644.jpg,1,1,1,a cat laying on top of a book shelf
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2362385.jpg,1,1,1,a cat wearing a santa hat
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2337170.jpg,1,1,1,a cat laying on top of a bed
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2368640.jpg,1,1,1,a cat sitting on top of a television
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2317596.jpg,1,1,1,a cat sleeping in a flower pot
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2347638.jpg,1,1,1,a baby laying on a bed next to a cat
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2370516.jpg,1,1,1,a white cat with blue eyes
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2345284.jpg,1,1,1,a black and white cat
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2344983.jpg,1,1,1,a man kneeling on the floor with a skateboard
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2371852.jpg,1,1,1,a cat sleeping on a desk next to a computer
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2336083.jpg,1,1,1,a cat laying on the floor
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2416658.jpg,1,1,1,a cat sitting on a couch next to a remote control
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2326609.jpg,1,1,1,two cats laying on a bed
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2385302.jpg,1,1,1,the cat is looking at the bag
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2354698.jpg,1,1,1,two black and white cats
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2407287.jpg,1,1,1,a cat wearing a hat
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2379768.jpg,1,1,1,a black cat on a desk
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2412419.jpg,1,1,1,the dog is laying on the man's lap
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2388543.jpg,1,1,1,a cat sitting on top of a laptop
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2408894.jpg,1,1,1,a cat in a suitcase
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2335240.jpg,1,1,1,two cats sitting on a bench
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2321620.jpg,1,1,1,a cat hiding under a blanket on a bed
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2403146.jpg,1,1,1,a cat standing on a toilet in a bathroom
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2340179.jpg,1,1,1,a cat sitting on a couch in a living room
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2361796.jpg,1,1,1,a black cat laying on a bed next to a remote control
data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2373001.jpg,1,1,1,the cat is black
